oldText,newText,sameLength,editDist_0,editDistAbove1,editDistBelow3,editDist_1andcaseChange,punct_diff,ERROR_TYPE
",',",cutter;,0,0,0,0,0,1,5
",',",we,0,0,0,0,0,1,5
cutter;,use,0,0,0,0,0,1,5
we,the,0,0,1,1,0,0,1
use,best,0,0,0,0,0,0,2
the,but-,0,0,0,0,0,1,5
*,-0,0,0,1,1,0,1,5
OTTTT,tons,0,0,0,0,0,0,2
!,and,0,0,0,0,0,1,5
I-,thread,0,0,0,0,0,1,5
tons,and,0,0,0,0,0,0,2
and,give,0,0,0,0,0,0,2
',personal,0,0,0,0,0,1,5
ulJli,supervision,0,0,0,0,0,0,2
•,to,0,0,0,0,0,0,2
P,all,0,0,0,0,0,0,2
I,work.,0,0,0,0,0,1,5
;,Our,0,0,0,0,0,1,5
0,stock,0,0,0,0,0,0,2
0,of,0,0,1,1,0,0,1
!,suit-,0,0,0,0,0,1,5
!!,for,0,0,0,0,0,1,5
o,spring,0,0,0,0,0,0,2
ings,and,0,0,0,0,0,0,2
for,summer,0,0,0,0,0,0,2
&lt;,is,0,0,0,0,0,1,5
WJH,about,0,0,0,0,0,0,2
T,the,0,0,0,0,0,0,2
T,nobbiest,0,0,0,0,0,0,2
3,ever,0,0,0,0,0,0,2
I,seen,0,0,0,0,0,0,2
WILL,here.,0,0,0,0,0,1,5
"!|,",We,0,0,0,0,0,1,5
!|,cannot,0,0,0,0,0,1,5
VVe,afford,0,0,0,0,0,0,2
cannot,to,0,0,0,0,0,0,2
afford,give,0,0,0,0,0,0,2
",',",you,1,0,1,0,0,1,5
",',",shoddy,0,0,0,0,0,1,5
you,cloth,0,0,0,0,0,0,2
shoddy,or,0,0,0,0,0,0,2
cloth,slip-,1,0,1,0,0,1,5
;;,shod,0,0,0,0,0,1,5
\\j\j,"work,",1,0,1,0,0,1,5
I!,for,0,0,0,0,0,1,5
to,we,1,0,1,1,0,0,1
stay,are,0,0,0,0,0,0,2
and,here,0,0,0,0,0,0,2
".',",to,0,0,0,0,0,1,5
I!,stay,0,0,0,0,0,1,5
one-time,and,0,0,0,0,0,0,2
custom.,cannot,0,0,0,0,0,1,5
!I,live,0,0,0,0,0,0,2
",',",on,0,0,0,0,0,1,5
,one-time,0,0,0,0,0,1,5
»♦♦♦♦♦♦»»♦♦,custom.,0,0,0,0,0,1,5
MAX,MAX,1,1,0,0,0,0,0
"LADA-R,","LADAR,",0,0,1,1,0,0,1
THE,THE,1,1,0,0,0,0,0
TAILOR,TAILOR,1,1,0,0,0,0,0
u'~-;:u,MAIN,0,0,0,0,0,0,2
~-,STREET.,0,0,0,0,0,1,5
;,JACKSON.,0,0,0,0,0,1,5
:,CAL.,0,0,0,0,0,1,5
-^Jj;.,LIVE,0,0,0,0,0,1,5
"""",BUSINESS,0,0,0,0,0,1,5
0,HOUSES.,0,0,0,0,0,1,5
■,Ex-Sheriff,0,0,0,0,0,0,2
Ex-Sheriff,"Cunningham,",0,0,0,0,0,1,5
"Cunningham,","who,",0,0,0,0,0,0,2
"who,",the,0,0,0,0,0,1,5
quin,quin,1,1,0,0,0,0,0
"Murietta,","Murietta,",1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
jj,famous,0,0,0,0,0,0,2
famous,"bandit,",0,0,0,0,0,1,5
"bandit,",re-,0,0,0,0,0,1,5
well.;,well.,0,0,1,1,0,1,5
He,He,1,1,0,0,0,0,0
was,was,1,1,0,0,0,0,0
over,over,1,1,0,0,0,0,0
six,six,1,1,0,0,0,0,0
feet,feet,1,1,0,0,0,0,0
in,in,1,1,0,0,0,0,0
"height,'","height,",0,0,1,1,0,1,5
pow-,pow-,1,1,0,0,0,0,0
of,of,1,1,0,0,0,0,0
his,his,1,1,0,0,0,0,0
time,time,1,1,0,0,0,0,0
in,in,1,1,0,0,0,0,0
San,San,1,1,0,0,0,0,0
Jose.,Jose.,1,1,0,0,0,0,0
"lawsuits,","lawsuits,",1,1,0,0,0,0,0
"separation,","separation,",1,1,0,0,0,0,0
rcconcilliation,reconcilliation,1,0,0,0,0,0,4
Chris,Chris,1,1,0,0,0,0,0
Ericson,Ericson,1,1,0,0,0,0,0
and,and,1,1,0,0,0,0,0
died,died,1,1,0,0,0,0,0
"from""",from,0,0,1,1,0,1,5
the,the,1,1,0,0,0,0,0
"1620,","1620,",1,1,0,0,0,0,0
landing,landing,1,1,0,0,0,0,0
on,on,1,1,0,0,0,0,0
Plymouth,Plymouth,1,1,0,0,0,0,0
Hock.,Rock.,1,0,0,0,0,0,4
"1621,","1621,",1,1,0,0,0,0,0
first,first,1,1,0,0,0,0,0
Thanksgiving,Thanksgiving,1,1,0,0,0,0,0
Day;,Day;,1,1,0,0,0,0,0
"""no",no,0,0,1,1,0,0,1
"1702,","1702,",1,1,0,0,0,0,0
Yale,Yale,1,1,0,0,0,0,0
College,College,1,1,0,0,0,0,0
founded,founded,1,1,0,0,0,0,0
in,in,1,1,0,0,0,0,0
New',New,0,0,1,1,0,1,5
Haven.-,Haven.,0,0,1,1,0,1,5
ton.,ton.,1,1,0,0,0,0,0
I,THE,0,0,0,0,0,0,2
lill!,COFFEE,0,0,0,0,0,1,5
Everything,Everything,1,1,0,0,0,0,0
"New,","New,",1,1,0,0,0,0,0
Neat,Neat,1,1,0,0,0,0,0
and,and,1,1,0,0,0,0,0
0,THE,0,0,0,0,0,0,2
"""",BEST,0,0,0,0,0,1,5
•,THE,1,0,1,0,0,0,2
.-:,MARKET,0,0,0,0,0,1,5
•,ON,0,0,0,0,0,0,2
ON,HAND,0,0,0,0,0,0,2
;^-.,HAMBRIC,0,0,0,0,0,1,5
1,&amp;,0,0,0,0,0,1,5
-;'i.',CARLEY.,0,0,0,0,0,1,5
k.'A.,M.,0,0,0,0,0,0,2
MAILS,A.,0,0,0,0,0,1,5
Furnishing,Furnishing,1,1,0,0,0,0,0
-:-,Goods,0,0,0,0,0,1,5
For,For,1,1,0,0,0,0,0
Ladies!,Ladies,0,0,1,1,0,1,5
"""Cl",E.,0,0,0,0,0,1,5
A.,A.,1,1,0,0,0,0,0
FREEMAN,FREEMAN,1,1,0,0,0,0,0
Court,Court,1,1,0,0,0,0,0
streets.,streets.,1,1,0,0,0,0,0
TV,D.,1,0,1,1,0,1,5
B.,B.,1,1,0,0,0,0,0
SPAtJNOUI,SPAGNOLI,0,0,0,0,0,0,2
jPjgaK,Attorney,0,0,0,0,0,0,2
Attorney,and,0,0,0,0,0,0,2
and,Counselor,0,0,0,0,0,0,2
Counselor,at,0,0,0,0,0,0,2
at,Law,0,0,1,1,0,0,1
.',Jackson.,0,0,0,0,0,1,5
Jackson.,Cal.,0,0,0,0,0,0,2
A,A.,0,0,1,1,0,1,5
CAMINETTI,CAMINETTI,1,1,0,0,0,0,0
TJOBEKT,ROBERT,0,0,0,0,0,0,2
C.,C.,1,1,0,0,0,0,0
BOLE,BOLE,1,1,0,0,0,0,0
•,"Jackson,",0,0,0,0,0,1,5
"Jackson,",Cal.,0,0,0,0,0,1,5
Records.,Records.,1,1,0,0,0,0,0
Harry,Harry,1,1,0,0,0,0,0
Harchand,Marchand,1,0,0,0,0,0,4
Under,Under,1,1,0,0,0,0,0
Treatment.,Treatment.,1,1,0,0,0,0,0
dress,dress,1,1,0,0,0,0,0
pretty,pretty,1,1,0,0,0,0,0
high,high,1,1,0,0,0,0,0
In,in,1,0,0,0,1,0,3
the,the,1,1,0,0,0,0,0
neck?,neck?,1,1,0,0,0,0,0
"Maude,—","Maude,—",1,1,0,0,0,0,0
"""Ob,","""Oh,",1,0,0,0,0,0,4
yes;,yes;,1,1,0,0,0,0,0
several,several,1,1,0,0,0,0,0
"times.""","times.""",1,1,0,0,0,0,0
GREAT,GREAT,1,1,0,0,0,0,0
6RAVR,6RAVR,1,1,0,0,0,0,0
BEDS,BEDS,1,1,0,0,0,0,0
PASS,PASS,1,1,0,0,0,0,0
THROUGH,THROUGH,1,1,0,0,0,0,0
THE,THE,1,1,0,0,0,0,0
SfERPA,SIERRA,1,0,1,1,0,0,1
GREAT,GREAT,1,1,0,0,0,0,0
6RAVR,GRAVEL,0,0,0,0,0,0,2
BEDS,BEDS,1,1,0,0,0,0,0
PASS,PASS,1,1,0,0,0,0,0
THROUGH,THROUGH,1,1,0,0,0,0,0
THE,THE,1,1,0,0,0,0,0
SIERRA,SIERRA,1,1,0,0,0,0,0
Carry,Carry,1,1,0,0,0,0,0
Gold,Gold,1,1,0,0,0,0,0
In,In,1,1,0,0,0,0,0
Faying,Paying,1,0,0,0,0,0,4
Quantities,Quantities,1,1,0,0,0,0,0
in,in,1,1,0,0,0,0,0
conjunction,conjunction,1,1,0,0,0,0,0
willi,with,0,0,0,0,0,0,2
lln&lt;,the,0,0,0,0,0,1,5
Calaveras,Calaveras,1,1,0,0,0,0,0
river,river,1,1,0,0,0,0,0
Its,Its,1,1,0,0,0,0,0
Eelation,Relation,1,0,0,0,0,0,4
to,to,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
Precious,Precious,1,1,0,0,0,0,0
■;,Metal.,0,0,0,0,0,1,5
"Mine,","Mine,",1,1,0,0,0,0,0
:,0,1,0,0,0,1,1,5
A,A,1,1,0,0,0,0,0
LITTLE,LITTLE,1,1,0,0,0,0,0
GIRL,GIRL,1,1,0,0,0,0,0
ESCfIPES,ESCAPES,0,0,1,1,0,0,1
A,A,1,1,0,0,0,0,0
HORRIBLE,HORRIBLE,1,1,0,0,0,0,0
DEATH,DEATH,1,1,0,0,0,0,0
On,On,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
Removal,Removal,1,1,0,0,0,0,0
of,of,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
Cala-,Cala-,1,1,0,0,0,0,0
*,,0,0,1,1,0,0,1
"Nugget,","Nugget,",1,1,0,0,0,0,0
"Plaoerville,","Plaoerville,",1,1,0,0,0,0,0
March,March,1,1,0,0,0,0,0
"3,","3,",1,1,0,0,0,0,0
IMO.,1900,1,0,1,0,0,1,5
"Nugget,","Nugget,",1,1,0,0,0,0,0
"Plaoerville,","Placerville,",1,0,0,0,0,0,4
March,March,1,1,0,0,0,0,0
"3,","2,",1,0,0,0,0,0,4
1900,1900,1,1,0,0,0,0,0
eyes.,eyes.,1,1,0,0,0,0,0
":a&lt;ro,","ago,",0,0,0,0,0,0,2
and,and,1,1,0,0,0,0,0
to,to,1,1,0,0,0,0,0
take,take,1,1,0,0,0,0,0
part,part,1,1,0,0,0,0,0
".""",in,1,0,1,1,0,1,5
in,the,0,0,0,0,0,0,2
0,great,0,0,0,0,0,0,2
Association,Association,1,1,0,0,0,0,0
at,at,1,1,0,0,0,0,0
Chicago.,Chicago.,1,1,0,0,0,0,0
j,Princeton,0,0,0,0,0,0,2
Pi-inoeton,has,0,0,0,0,0,0,2
offeivd,offeredd,0,0,0,0,0,0,2
its,its,1,1,0,0,0,0,0
track,track,1,1,0,0,0,0,0
(or,for,1,0,0,0,0,0,4
training.,training.,1,1,0,0,0,0,0
t^.ira,team,0,0,0,0,0,0,2
beon,been,1,0,0,0,0,0,4
sent,sent,1,1,0,0,0,0,0
east—,east—,1,1,0,0,0,0,0
in,in,1,1,0,0,0,0,0
"1.8J15,","1895,",0,0,0,0,0,0,2
when,when,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
Berkeley,Berkeley,1,1,0,0,0,0,0
athletes,athletes,1,1,0,0,0,0,0
won.,won,0,0,1,1,0,1,5
the,the,1,1,0,0,0,0,0
0,Western,0,0,0,0,0,0,2
"Princeton,","Princeton,",1,1,0,0,0,0,0
tie-1,tied,0,0,1,1,0,0,1
"Pennsylvania,","Pennsylvania,",1,1,0,0,0,0,0
and,and,1,1,0,0,0,0,0
dis-,dis-,1,1,0,0,0,0,0
lh&gt;£tiished,tinguished,0,0,0,0,0,0,2
themselves,themselves,1,1,0,0,0,0,0
at,at,1,1,0,0,0,0,0
Mott,Mott,1,1,0,0,0,0,0
Haven.',Haven.',1,1,0,0,0,0,0
■,Among,0,0,0,0,0,0,2
Among,the,0,0,0,0,0,0,2
the,athletes,0,0,0,0,0,0,2
athletes,who,0,0,0,0,0,0,2
who,are,1,0,1,0,0,0,2
are,most,0,0,0,0,0,0,2
by,by,1,1,0,0,0,0,0
A.,A.,1,1,0,0,0,0,0
"Goldner,","Goldner,",1,1,0,0,0,0,0
Drnggist.,Druggist.,1,0,0,0,0,0,4
Sued,Based,0,0,0,0,0,0,2
on,on,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
Result,Result,1,1,0,0,0,0,0
of,of,1,1,0,0,0,0,0
Scientific,Scientific,1,1,0,0,0,0,0
Re-,Re-,1,1,0,0,0,0,0
counterfeits.,counterfeits.,1,1,0,0,0,0,0
City,City,1,1,0,0,0,0,0
Pharmacy.,Pharmacy.,1,1,0,0,0,0,0
Would-be,Would-be,1,1,0,0,0,0,0
Slayer,Slayer,1,1,0,0,0,0,0
;,of,0,0,1,1,0,1,5
pf,Joseph,0,0,0,0,0,0,2
BRADY,BRADY,1,1,0,0,0,0,0
ESCAPES,ESCAPES,1,1,0,0,0,0,0
FROM,FROM,1,1,0,0,0,0,0
THE,THE,1,1,0,0,0,0,0
COUNTY,COUNTY,1,1,0,0,0,0,0
0,HOSPITAL,0,0,0,0,0,0,2
ed,ed,1,1,0,0,0,0,0
near,near,1,1,0,0,0,0,0
"Milton,","Milton,",1,1,0,0,0,0,0
j,has,0,0,0,0,0,0,2
has,had,1,0,0,0,0,0,4
had,a,0,0,1,1,0,0,1
a,varied,0,0,0,0,0,0,2
varied,and,0,0,0,0,0,0,2
pened,pened,1,1,0,0,0,0,0
to,to,1,1,0,0,0,0,0
him,him,1,1,0,0,0,0,0
this*,this,0,0,1,1,0,1,5
"V«ek,*",week,0,0,0,0,0,1,5
as,as,1,1,0,0,0,0,0
related,related,1,1,0,0,0,0,0
by,by,1,1,0,0,0,0,0
ably,ably,1,1,0,0,0,0,0
as,as,1,1,0,0,0,0,0
interesting,interesting,1,1,0,0,0,0,0
as,as,1,1,0,0,0,0,0
any,any,1,1,0,0,0,0,0
r&gt;,single,0,0,0,0,0,1,5
single,hap-,0,0,0,0,0,1,5
years.,years.,1,1,0,0,0,0,0
ago,ago,1,1,0,0,0,0,0
he,he,1,1,0,0,0,0,0
taft,left,1,0,1,1,0,0,1
~,his,0,0,0,0,0,1,5
his,home,0,0,0,0,0,0,2
home,in,0,0,0,0,0,0,2
in,Illinois,0,0,0,0,0,0,2
?-,All,0,0,0,0,0,1,5
AU,Others.,0,0,0,0,0,1,5
1900,1900,1,1,0,0,0,0,0
—,—,1,1,0,0,0,0,0
#NAME?,#NAME?,1,1,0,0,0,0,0
"Moses,","Moses,",1,1,0,0,0,0,0
Professor,Professor,1,1,0,0,0,0,0
;of,of,0,0,1,1,0,0,1
University,University,1,1,0,0,0,0,0
of,of,1,1,0,0,0,0,0
"California,","California,",1,1,0,0,0,0,0
who,who,1,1,0,0,0,0,0
has,has,1,1,0,0,0,0,0
betjn,been,0,0,1,1,0,0,1
a,a,1,1,0,0,0,0,0
year.,year.,1,1,0,0,0,0,0
Tho,Tho,1,1,0,0,0,0,0
special,special,1,1,0,0,0,0,0
subject,subject,1,1,0,0,0,0,0
of,of,1,1,0,0,0,0,0
Profos-,Profes-,1,0,0,0,0,0,4
confession,confession,1,1,0,0,0,0,0
that,that,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
0,government,0,0,0,0,0,0,2
government,was,0,0,0,0,0,0,2
General,General,1,1,0,0,0,0,0
Fnrlonar'a,Furlong's,0,0,0,0,0,0,2
Charity.,Charity.,1,1,0,0,0,0,0
..There,There,0,0,1,1,0,0,1
goes,goes,1,1,0,0,0,0,0
General,General,1,1,0,0,0,0,0
Charles,Charles,1,1,0,0,0,0,0
B.,B.,1,1,0,0,0,0,0
Pur-,Pur-,1,1,0,0,0,0,0
his,his,1,1,0,0,0,0,0
hand,hand,1,1,0,0,0,0,0
is,is,1,1,0,0,0,0,0
a,a,1,1,0,0,0,0,0
$10 ,$10 ,1,1,0,0,0,0,0
and,and,1,1,0,0,0,0,0
as,as,1,1,0,0,0,0,0
6,$5 ,0,0,0,0,0,0,2
bill.,bill.,1,1,0,0,0,0,0
He,He,1,1,0,0,0,0,0
"""The","""The",1,1,0,0,0,0,0
late,late,1,1,0,0,0,0,0
John,John,1,1,0,0,0,0,0
McCullougb.,McCullough.,1,0,0,0,0,0,4
the,the,1,1,0,0,0,0,0
tra-,tra-,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
Gllsey,Gllsey,1,1,0,0,0,0,0
House.,House.,1,1,0,0,0,0,0
0,One,0,0,0,0,0,0,2
•,day,1,0,1,0,0,0,2
One,I,0,0,0,0,0,0,2
day,went,0,0,0,0,0,0,2
there,there,1,1,0,0,0,0,0
to,to,1,1,0,0,0,0,0
call,call,1,1,0,0,0,0,0
on,on,1,1,0,0,0,0,0
him,him,1,1,0,0,0,0,0
),"and,",0,0,0,0,0,1,5
"and,",he,0,0,0,0,0,1,5
he,being,0,0,0,0,0,0,2
word,word,1,1,0,0,0,0,0
.'Actor.',.'Actor.',1,1,0,0,0,0,0
The,The,1,1,0,0,0,0,0
next,next,1,1,0,0,0,0,0
day,day,1,1,0,0,0,0,0
.-;,I,0,0,0,0,0,1,5
I,0,1,0,0,0,0,0,4
0,was,0,0,0,0,0,0,2
passing,passing,1,1,0,0,0,0,0
McCullougb,McCullough,1,0,0,0,0,0,4
on,on,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
street,street,1,1,0,0,0,0,0
when,when,1,1,0,0,0,0,0
The,The,1,1,0,0,0,0,0
most.,most.,1,1,0,0,0,0,0
■,ancient,0,0,0,0,0,0,2
ancient,s,0,0,0,0,0,0,2
s,dictionary,0,0,0,0,0,0,2
dictionary,and,0,0,0,0,0,0,2
"""El",E.,0,0,1,1,0,1,5
A.,A.,1,1,0,0,0,0,0
",",Freeman,0,0,0,0,0,1,5
-0,Attorney-at-Law,0,0,0,0,0,0,2
Jacksor'.C.^,"Jackson,",0,0,0,0,0,1,5
-*2ll,Cal.,0,0,0,0,0,1,5
Court,Court,1,1,0,0,0,0,0
streets.,streets.,1,1,0,0,0,0,0
"TV""",D.B.,0,0,0,0,0,1,5
".'■•""",SPAGNOLI,0,0,0,0,0,1,5
-,Attorney,0,0,0,0,0,1,5
"""",sad,0,0,0,0,0,1,5
;,Counselor,0,0,0,0,0,1,5
0,«t,0,0,0,0,0,0,2
0,Law,0,0,0,0,0,0,2
V;*,"Jackson,",0,0,0,0,0,1,5
"JACKBOW,'CAL.",Cal.,0,0,0,0,0,0,2
;V,A.,1,0,1,1,0,1,5
;,CAMINETTI,0,0,0,0,0,1,5
P.,P.,1,1,0,0,0,0,0
BUFFIN6TON,BUFFINGTON,1,0,0,0,0,0,4
-0,-0,1,1,0,0,0,0,0
:,:,1,1,0,0,0,0,0
;,;,1,1,0,0,0,0,0
:,:,1,1,0,0,0,0,0
i,Editor,0,0,0,0,0,0,2
Editor,and,0,0,0,0,0,0,2
and,Manager,0,0,0,0,0,0,2
-0,March,0,0,0,0,0,0,2
March,8,0,0,0,0,0,0,2
B.^-General,#NAME?,0,0,0,0,0,1,5
Joe,Joe,1,1,0,0,0,0,0
Wheeler,Wheeler,1,1,0,0,0,0,0
and,and,1,1,0,0,0,0,0
"daughter,","daughter,",1,1,0,0,0,0,0
",",Miss,0,0,0,0,0,1,5
Miss,Annie,0,0,0,0,0,0,2
Annie,Wheeler,0,0,0,0,0,0,2
Wheolor,have,0,0,0,0,0,0,2
force.,force.,1,1,0,0,0,0,0
■,LIVE,0,0,0,0,0,0,2
n,BUSINESS,0,0,0,0,0,0,2
:.,HOUSES.,0,0,0,0,0,0,2
S$,Complete,0,0,0,0,0,1,5
1,New,0,0,0,0,0,0,2
1,Stock,0,0,0,0,0,0,2
New,Received,0,0,0,0,0,0,2
"q,",Composed,0,0,0,0,0,1,5
",",of,0,0,1,1,0,1,5
Composed,all,0,0,0,0,0,0,2
of,kinds,0,0,0,0,0,0,2
all,of,0,0,0,0,0,0,2
kinds,goods,1,0,1,0,0,0,2
of,for,0,0,1,1,0,0,1
goods,Winter,0,0,0,0,0,0,2
for,Wear,0,0,0,0,0,0,2
By,Vicuna,0,0,0,0,0,0,2
:,Wool,0,0,0,0,0,1,5
;,Underclothing,0,0,0,0,0,1,5
..,Ready-Made,0,0,0,0,0,1,5
;,Garments,0,0,0,0,0,1,5
Ready-Made,for,0,0,0,0,0,0,2
Garments,Ladies,0,0,0,0,0,0,2
a,Flannelettes,0,0,0,0,0,0,2
•,•,1,1,0,0,0,0,0
•.,•.,1,1,0,0,0,0,0
.county',.county',1,1,0,0,0,0,0
A,A,1,1,0,0,0,0,0
Fresh,Fresh,1,1,0,0,0,0,0
and,and,1,1,0,0,0,0,0
new,new,1,1,0,0,0,0,0
stock,stock,1,1,0,0,0,0,0
of,of,1,1,0,0,0,0,0
•,GROCERIES,0,0,0,0,0,0,2
,AND,0,0,0,0,0,0,2
.GROCERIES,",",0,0,0,0,0,1,5
AND,PROVISIONS,0,0,0,0,0,0,2
t,Fight.,0,0,0,0,0,1,5
Prospect.,Prospect.,1,1,0,0,0,0,0
San,San,1,1,0,0,0,0,0
"Andreas,","Andreas,",1,1,0,0,0,0,0
March,March,1,1,0,0,0,0,0
"17,","17,",1,1,0,0,0,0,0
19U0.,1900,0,0,1,1,0,1,5
%ly,ly,0,0,1,1,0,0,1
to,to,1,1,0,0,0,0,0
one,one,1,1,0,0,0,0,0
"side,","side,",1,1,0,0,0,0,0
camo,came,1,0,0,0,0,0,4
near*,near,0,0,1,1,0,1,5
upsetting,upsetting,1,1,0,0,0,0,0
tbe,tbe,1,1,0,0,0,0,0
■,Reports,0,0,0,0,0,0,2
Reports,were,0,0,0,0,0,0,2
were,received,0,0,0,0,0,0,2
received,from,0,0,0,0,0,0,2
from,the,0,0,0,0,0,0,2
the,sub-,0,0,0,0,0,1,5
meaning,meaning,1,1,0,0,0,0,0
of.,of.,1,1,0,0,0,0,0
the,the,1,1,0,0,0,0,0
terra,term,0,0,1,1,0,0,1
"States',!",United,0,0,0,0,0,1,5
as,as,1,1,0,0,0,0,0
applicable,applicable,1,1,0,0,0,0,0
to.,to.,1,1,0,0,0,0,0
Puerto,Puerto,1,1,0,0,0,0,0
..,"Rico,",0,0,0,0,0,1,5
"Rico,",the,0,0,0,0,0,1,5
b.i'ii,b.i'ii,1,1,0,0,0,0,0
