cutter;,use,Additon of words
we,the,Others
use,best,Others
the,but-,Additon of words
*,-,"Corrected, Capitalization Error"
OTTTT,tons,Additon of words
!,and,Others
I-,thread,Additon of words
tons,and,Others
and,give,Additon of words
'',personal,Additon of words
ulJli,supervision,Additon of words
'•,to,Additon of words
P,all,Others
I,work.,Additon of words
;,Our,Others
.,stock,Additon of words
.,of,Others
!,suit-,Additon of words
!!,for,Others
o,spring,Additon of words
ings,and,Others
for,summer,Additon of words
'&lt;,is,Additon of words
WJH,about,Additon of words
T,the,Others
T,nobbiest,Additon of words
3,ever,Additon of words
I,seen,Additon of words
WILL,here.,Additon of words
"!|,",We,Others
!|,cannot,Additon of words
VVe,afford,Additon of words
cannot,to,Additon of words
afford,give,Additon of words
"',',",you,Additon of words
"',',",shoddy,Additon of words
you,cloth,Additon of words
shoddy,or,Additon of words
cloth,slip-,Additon of words
;;,shod,Additon of words
\\j\j,"work,",Additon of words
I!,for,Others
to,we,Others
stay,are,Additon of words
and,here,Additon of words
"'.',",to,Additon of words
I!,stay,Additon of words
one-time,and,Additon of words
custom.,cannot,Additon of words
!I,live,Additon of words
"',',",on,Additon of words
',one-time,Additon of words
'»♦♦♦♦♦♦»»♦♦,custom.,Additon of words
MAX,MAX,Not corrected
"LADA-R,","LADAR,","Corrected, Spellcheck Error"
THE,THE,Not corrected
TAILOR,TAILOR,Not corrected
u'~-;:u,MAIN,Additon of words
'~-,STREET.,Additon of words
;,JACKSON.,Additon of words
:,CAL.,Additon of words
-^Jj;.,LIVE,Additon of words
"""",BUSINESS,Additon of words
.,HOUSES.,Additon of words
■,Ex-Sheriff,Additon of words
Ex-Sheriff,"Cunningham,",Additon of words
"Cunningham,","who,",Additon of words
"who,",the,Others
quin,quin,Not corrected
"Murietta,","Murietta,",Not corrected
the,the,Not corrected
jj,famous,Additon of words
famous,"bandit,",Additon of words
"bandit,",re-,Additon of words
well.;,well.,"Corrected, Spellcheck Error"
He,He,Not corrected
was,was,Not corrected
over,over,Not corrected
six,six,Not corrected
feet,feet,Not corrected
in,in,Not corrected
"height,'","height,","Corrected, Spellcheck Error"
pow-,pow-,Not corrected
of,of,Not corrected
his,his,Not corrected
time,time,Not corrected
in,in,Not corrected
San,San,Not corrected
Jose.,Jose.,Not corrected
"lawsuits,","lawsuits,",Not corrected
"separation,","separation,",Not corrected
rcconcilliation,reconcilliation,"Corrected, Spellcheck Error"
Chris,Chris,Not corrected
Ericson,Ericson,Not corrected
and,and,Not corrected
died,died,Not corrected
"from""",from,"Corrected, Spellcheck Error"
the,the,Not corrected
"1620,","1620,",Not corrected
landing,landing,Not corrected
on,on,Not corrected
Plymouth,Plymouth,Not corrected
Hock.,Rock.,"Corrected, Capitalization Error"
"1621,","1621,",Not corrected
first,first,Not corrected
Thanksgiving,Thanksgiving,Not corrected
Day;,Day;,Not corrected
"""no",no,"Corrected, Capitalization Error"
"1702,","1702,",Not corrected
Yale,Yale,Not corrected
College,College,Not corrected
founded,founded,Not corrected
in,in,Not corrected
New',New,"Corrected, Spellcheck Error"
Haven.-,Haven.,"Corrected, Spellcheck Error"
ton.,ton.,Not corrected
I,THE,Others
lill!,COFFEE,Additon of words
Everything,Everything,Not corrected
"New,","New,",Not corrected
Neat,Neat,Not corrected
and,and,Not corrected
.,THE,Others
"""",BEST,Additon of words
•,THE,Others
.-:,MARKET,Additon of words
•,ON,Others
ON,HAND,Others
;^-.,HAMBRIC,Additon of words
1,&amp;,Additon of words
-;'i.',CARLEY.,Additon of words
k.'A.,M.,Additon of words
MAILS,A.,Additon of words
Furnishing,Furnishing,Not corrected
-:-,Goods,Additon of words
For,For,Not corrected
Ladies!,Ladies,"Corrected, Spellcheck Error"
"""Cl",E.,Others
A.,A.,Not corrected
FREEMAN,FREEMAN,Not corrected
Court,Court,Not corrected
streets.,streets.,Not corrected
TV,D.,Others
B.,B.,Not corrected
SPAtJNOUI,SPAGNOLI,Others
jPjgaK,Attorney,Additon of words
Attorney,and,Additon of words
and,Counselor,Additon of words
Counselor,at,Additon of words
at,Law,Others
.',Jackson.,Additon of words
Jackson.,Cal.,Additon of words
A,A.,"Corrected, Spellcheck Error"
CAMINETTI,CAMINETTI,Not corrected
TJOBEKT,ROBERT,Others
C.,C.,Not corrected
BOLE,BOLE,Not corrected
•,"Jackson,",Additon of words
"Jackson,",Cal.,Additon of words
Records.,Records.,Not corrected
Harry,Harry,Not corrected
Harchand,Marchand,"Corrected, Capitalization Error"
Under,Under,Not corrected
Treatment.,Treatment.,Not corrected
dress,dress,Not corrected
pretty,pretty,Not corrected
high,high,Not corrected
In,in,"Corrected, Capitalization Error"
the,the,Not corrected
neck?,neck?,Not corrected
"Maude,—","Maude,—",Not corrected
"""Ob,","""Oh,","Corrected, Spellcheck Error"
yes;,yes;,Not corrected
several,several,Not corrected
"times.""","times.""",Not corrected
GREAT,GREAT,Not corrected
6RAVR,6RAVR,Not corrected
BEDS,BEDS,Not corrected
PASS,PASS,Not corrected
THROUGH,THROUGH,Not corrected
THE,THE,Not corrected
SfERPA,SIERRA,"Corrected, Spellcheck Error"
GREAT,GREAT,Not corrected
6RAVR,GRAVEL,Others
BEDS,BEDS,Not corrected
PASS,PASS,Not corrected
THROUGH,THROUGH,Not corrected
THE,THE,Not corrected
SIERRA,SIERRA,Not corrected
Carry,Carry,Not corrected
Gold,Gold,Not corrected
In,In,Not corrected
Faying,Paying,"Corrected, Capitalization Error"
Quantities,Quantities,Not corrected
in,in,Not corrected
conjunction,conjunction,Not corrected
willi,with,Others
lln&lt;,the,Additon of words
Calaveras,Calaveras,Not corrected
river,river,Not corrected
Its,Its,Not corrected
Eelation,Relation,"Corrected, Capitalization Error"
to,to,Not corrected
the,the,Not corrected
Precious,Precious,Not corrected
■;,Metal.,Additon of words
"Mine,","Mine,",Not corrected
:,.,"Corrected, Capitalization Error"
A,A,Not corrected
LITTLE,LITTLE,Not corrected
GIRL,GIRL,Not corrected
ESCfIPES,ESCAPES,"Corrected, Spellcheck Error"
A,A,Not corrected
HORRIBLE,HORRIBLE,Not corrected
DEATH,DEATH,Not corrected
On,On,Not corrected
the,the,Not corrected
Removal,Removal,Not corrected
of,of,Not corrected
the,the,Not corrected
Cala-,Cala-,Not corrected
'*,',"Corrected, Spellcheck Error"
"Nugget,","Nugget,",Not corrected
"Plaoerville,","Plaoerville,",Not corrected
March,March,Not corrected
"3,","3,",Not corrected
IMO.,1900,Additon of words
"Nugget,","Nugget,",Not corrected
"Plaoerville,","Placerville,","Corrected, Spellcheck Error"
March,March,Not corrected
"3,","2,","Corrected, Capitalization Error"
1900,1900,Not corrected
eyes.,eyes.,Not corrected
":a&lt;ro,","ago,",Additon of words
and,and,Not corrected
to,to,Not corrected
take,take,Not corrected
part,part,Not corrected
".""",in,Others
in,the,Others
.,great,Additon of words
Association,Association,Not corrected
at,at,Not corrected
Chicago.,Chicago.,Not corrected
j,Princeton,Additon of words
Pi-inoeton,has,Additon of words
offeivd,offeredd,Others
its,its,Not corrected
track,track,Not corrected
(or,for,"Corrected, Capitalization Error"
training.,training.,Not corrected
t^.ira,team,Additon of words
beon,been,"Corrected, Spellcheck Error"
sent,sent,Not corrected
east—,east—,Not corrected
in,in,Not corrected
"1.8J15,","1895,",Others
when,when,Not corrected
the,the,Not corrected
Berkeley,Berkeley,Not corrected
athletes,athletes,Not corrected
won.,won,"Corrected, Spellcheck Error"
the,the,Not corrected
.,Western,Additon of words
"Princeton,","Princeton,",Not corrected
tie-1,tied,"Corrected, Spellcheck Error"
"Pennsylvania,","Pennsylvania,",Not corrected
and,and,Not corrected
dis-,dis-,Not corrected
lh&gt;£tiished,tinguished,Additon of words
themselves,themselves,Not corrected
at,at,Not corrected
Mott,Mott,Not corrected
Haven.',Haven.',Not corrected
■,Among,Additon of words
Among,the,Additon of words
the,athletes,Additon of words
athletes,who,Additon of words
who,are,Others
are,most,Additon of words
by,by,Not corrected
A.,A.,Not corrected
"Goldner,","Goldner,",Not corrected
Drnggist.,Druggist.,"Corrected, Spellcheck Error"
Sued,Based,Others
on,on,Not corrected
the,the,Not corrected
Result,Result,Not corrected
of,of,Not corrected
Scientific,Scientific,Not corrected
Re-,Re-,Not corrected
counterfeits.,counterfeits.,Not corrected
City,City,Not corrected
Pharmacy.,Pharmacy.,Not corrected
Would-be,Would-be,Not corrected
Slayer,Slayer,Not corrected
;,of,Others
pf,Joseph,Additon of words
BRADY,BRADY,Not corrected
ESCAPES,ESCAPES,Not corrected
FROM,FROM,Not corrected
THE,THE,Not corrected
COUNTY,COUNTY,Not corrected
.,HOSPITAL,Additon of words
ed,ed,Not corrected
near,near,Not corrected
"Milton,","Milton,",Not corrected
j,has,Others
has,had,"Corrected, Spellcheck Error"
had,a,Others
a,varied,Additon of words
varied,and,Additon of words
pened,pened,Not corrected
to,to,Not corrected
him,him,Not corrected
this*,this,"Corrected, Spellcheck Error"
"V«ek,*",week,Additon of words
as,as,Not corrected
related,related,Not corrected
by,by,Not corrected
ably,ably,Not corrected
as,as,Not corrected
interesting,interesting,Not corrected
as,as,Not corrected
any,any,Not corrected
r&gt;,single,Additon of words
single,hap-,Additon of words
years.,years.,Not corrected
ago,ago,Not corrected
he,he,Not corrected
taft,left,Others
~,his,Others
his,home,Others
home,in,Additon of words
in,Illinois,Additon of words
?-,All,Others
AU,Others.,Additon of words
1900,1900,Not corrected
—,—,Not corrected
#NAME?,#NAME?,Not corrected
"Moses,","Moses,",Not corrected
Professor,Professor,Not corrected
;of,of,"Corrected, Capitalization Error"
University,University,Not corrected
of,of,Not corrected
"California,","California,",Not corrected
who,who,Not corrected
has,has,Not corrected
betjn,been,"Corrected, Spellcheck Error"
a,a,Not corrected
year.,year.,Not corrected
Tho,Tho,Not corrected
special,special,Not corrected
subject,subject,Not corrected
of,of,Not corrected
Profos-,Profes-,"Corrected, Spellcheck Error"
confession,confession,Not corrected
that,that,Not corrected
the,the,Not corrected
.,government,Additon of words
government,was,Additon of words
General,General,Not corrected
Fnrlonar'a,Furlong's,Additon of words
Charity.,Charity.,Not corrected
..There,There,Others
goes,goes,Not corrected
General,General,Not corrected
Charles,Charles,Not corrected
B.,B.,Not corrected
Pur-,Pur-,Not corrected
his,his,Not corrected
hand,hand,Not corrected
is,is,Not corrected
a,a,Not corrected
$10 ,$10 ,Not corrected
and,and,Not corrected
as,as,Not corrected
6,$5 ,Others
bill.,bill.,Not corrected
He,He,Not corrected
"""The","""The",Not corrected
late,late,Not corrected
John,John,Not corrected
McCullougb.,McCullough.,"Corrected, Spellcheck Error"
the,the,Not corrected
tra-,tra-,Not corrected
the,the,Not corrected
Gllsey,Gllsey,Not corrected
House.,House.,Not corrected
.,One,Others
•,day,Others
One,I,Others
day,went,Additon of words
there,there,Not corrected
to,to,Not corrected
call,call,Not corrected
on,on,Not corrected
him,him,Not corrected
),"and,",Additon of words
"and,",he,Additon of words
he,being,Additon of words
word,word,Not corrected
.'Actor.',.'Actor.',Not corrected
The,The,Not corrected
next,next,Not corrected
day,day,Not corrected
.-;,I,Others
I,.,"Corrected, Capitalization Error"
.,was,Others
passing,passing,Not corrected
McCullougb,McCullough,"Corrected, Spellcheck Error"
on,on,Not corrected
the,the,Not corrected
street,street,Not corrected
when,when,Not corrected
The,The,Not corrected
most.,most.,Not corrected
■,ancient,Additon of words
ancient,s,Additon of words
s,dictionary,Additon of words
dictionary,and,Additon of words
"""El",E.,Others
A.,A.,Not corrected
",",Freeman,Additon of words
-,Attorney-at-Law,Additon of words
Jacksor'.C.^,"Jackson,",Additon of words
-*2ll,Cal.,Additon of words
Court,Court,Not corrected
streets.,streets.,Not corrected
"TV""",D.B.,Additon of words
".'■•""",SPAGNOLI,Additon of words
'-,Attorney,Additon of words
"""",sad,Others
;,Counselor,Additon of words
.,«t,Others
.,Law,Others
V;*,"Jackson,",Additon of words
"JACKBOW,'CAL.",Cal.,Additon of words
;V,A.,Others
';,CAMINETTI,Additon of words
P.,P.,Not corrected
BUFFIN6TON,BUFFINGTON,"Corrected, Spellcheck Error"
-.,-.,Not corrected
:,:,Not corrected
;,;,Not corrected
:,:,Not corrected
i,Editor,Additon of words
Editor,and,Additon of words
and,Manager,Additon of words
-,March,Additon of words
March,8,Additon of words
B.^-General,#NAME?,Additon of words
Joe,Joe,Not corrected
Wheeler,Wheeler,Not corrected
and,and,Not corrected
"daughter,","daughter,",Not corrected
",",Miss,Additon of words
Miss,Annie,Additon of words
Annie,Wheeler,Additon of words
Wheolor,have,Additon of words
force.,force.,Not corrected
■,LIVE,Additon of words
n,BUSINESS,Additon of words
:.,HOUSES.,Additon of words
S$,Complete,Additon of words
1,New,Others
1,Stock,Additon of words
New,Received,Additon of words
"q,",Composed,Additon of words
",",of,Others
Composed,all,Additon of words
of,kinds,Additon of words
all,of,Others
kinds,goods,Others
of,for,Others
goods,Winter,Additon of words
for,Wear,Others
By,Vicuna,Additon of words
:,Wool,Additon of words
;,Underclothing,Additon of words
..,Ready-Made,Additon of words
;,Garments,Additon of words
Ready-Made,for,Additon of words
Garments,Ladies,Additon of words
a,Flannelettes,Additon of words
•,•,Not corrected
•.,•.,Not corrected
.county',.county',Not corrected
A,A,Not corrected
Fresh,Fresh,Not corrected
and,and,Not corrected
new,new,Not corrected
stock,stock,Not corrected
of,of,Not corrected
•,GROCERIES,Additon of words
',AND,Others
.GROCERIES,",",Additon of words
AND,PROVISIONS,Additon of words
t,Fight.,Additon of words
Prospect.,Prospect.,Not corrected
San,San,Not corrected
"Andreas,","Andreas,",Not corrected
March,March,Not corrected
"17,","17,",Not corrected
19U0.,1900,"Corrected, Spellcheck Error"
%ly,ly,"Corrected, Capitalization Error"
to,to,Not corrected
one,one,Not corrected
"side,","side,",Not corrected
camo,came,"Corrected, Spellcheck Error"
near*,near,"Corrected, Spellcheck Error"
upsetting,upsetting,Not corrected
tbe,tbe,Not corrected
■,Reports,Additon of words
Reports,were,Additon of words
were,received,Additon of words
received,from,Additon of words
from,the,Additon of words
the,sub-,Additon of words
meaning,meaning,Not corrected
of.,of.,Not corrected
the,the,Not corrected
terra,term,"Corrected, Spellcheck Error"
"States',!",United,Additon of words
as,as,Not corrected
applicable,applicable,Not corrected
to.,to.,Not corrected
Puerto,Puerto,Not corrected
..,"Rico,",Additon of words
"Rico,",the,Additon of words
b.i'ii,b.i'ii,Not corrected
aroused,aroused,Not corrected
10,10,Not corrected
cents,cents,Not corrected
worth.,worth.,Not corrected
Must,Must,Not corrected
Be,Be,Not corrected
Filed,Filed,Not corrected
in,in,Not corrected
Hay.,May.,"Corrected, Capitalization Error"
Tp,E.,Others
A.,A.,Not corrected
FREEMAN,FREEMAN,Not corrected
Attorney-at-Xaw,Attorney-at-Law,"Corrected, Spellcheck Error"
"Jackson,","Jackson,",Not corrected
Cal.,Cal.,Not corrected
ACAMINBTTI,A.,Additon of words
~T\,D.,Others
li.,B.,Others
SPAGNOLI,SPAGNOLI,Not corrected
Published,Published,Not corrected
Fridays,Fridays,Not corrected
by,by,Not corrected
Six,Six,Not corrected
Months,Months,Not corrected
...„.•,.,Additon of words
1,1,Not corrected
25,25,Not corrected
P.,P.,Not corrected
BUFFIN6TON,BUFFINGTON,"Corrected, Spellcheck Error"
:,:,Not corrected
",",",",Not corrected
i),:,Others
',:,"Corrected, Capitalization Error"
:,.,"Corrected, Capitalization Error"
:,Editor,Additon of words
.,and,Others
Editor,Manager,Additon of words
in,MUCH,Additon of words
mini,CAPITAL,Additon of words
is,IS,Others
inn,INVESTED,Additon of words
in,IN,Others
mi,THE,Others
hhri,INDUSTRY,Additon of words
The,The,Not corrected
continuous.,continuous,"Corrected, Spellcheck Error"
bucket,bucket,Not corrected
type,type,Not corrected
of,of,Not corrected
dredge,dredge,Not corrected
three-fourths,three-fourths,Not corrected
of,of,Not corrected
the'V,the,"Corrected, Spellcheck Error"
boat's',boat's',Not corrected
length^,length.,"Corrected, Spellcheck Error"
The,The,Not corrected
buckets,buckets,Not corrected
are,are,Not corrected
:,generally,Additon of words
!,thirty-,Additon of words
eight,eight,Not corrected
.in.,in.,"Corrected, Capitalization Error"
number,number,Not corrected
".of,",".of,",Not corrected
three,three,Not corrected
and,and,Not corrected
one-,one-,Not corrected
quarter,quarter,Not corrected
cubic,cubic,Not corrected
feet,feet,Not corrected
"capacity,'","capacity,","Corrected, Spellcheck Error"
fastenotFon,fastened,Additon of words
to,to,Not corrected
whatever,whatever,Not corrected
point,point,Not corrected
is,is,Not corrected
designed.,designed.,Not corrected
.,If,Others
If,suc-,Additon of words
"cessful,","cessful,",Not corrected
this,this,Not corrected
plan,plan,Not corrected
.will,.will,Not corrected
add,add,Not corrected
much,much,Not corrected
#NAME?,to,Additon of words
",",BORN.,Additon of words
MOYLE.—,MOYLE.—,Not corrected
In,In,Not corrected
South,South,Not corrected
"Jackson,","Jackson,",Not corrected
March,March,Not corrected
16,"16,","Corrected, Spellcheck Error"
"1000,",1900,"Corrected, Spellcheck Error"
to,to,Not corrected
:,Mr.,Others
Mr.,and,Others
and,Mrs.,Additon of words
Mrs.,John,Additon of words
John,"Moyle,",Additon of words
Moy,a,Others
"le,",daughter.,Additon of words
',Mr.,Others
Mr.,and,Others
and,Mrs.,Additon of words
Mrs.,Sherman,Additon of words
Sherman,"Clark,",Additon of words
"Clark,",a,Additon of words
a,daughter.,Additon of words
,Notice,Additon of words
Notice,to,Additon of words
to,Creditors.,Additon of words
•,Estate,Additon of words
Estate,of,Additon of words
of,Rudolph,Additon of words
Rudolph,"Schneebely,",Additon of words
"Schneebely,",deceased.,Additon of words
"""\rOTICE",NOTICE,Others
IS,IS,Not corrected
HEREBY.,HEREBY.,Not corrected
GIVEN,GIVEN,Not corrected
BY,BY,Not corrected
"THe""",THE,"Corrected, Spellcheck Error"
.!_&gt;,"undersigned,",Additon of words
"undersigned,",administrator,Additon of words
administrator,of,Additon of words
of,the,Others
the-,estate,Additon of words
estate,of,Additon of words
Rudolph,Rudolph,Not corrected
"Scbnrcbely,","Schneebely,",Others
"deceased,-","deceased,-",Not corrected
to,to,Not corrected
the,the,Not corrected
creditors,creditors,Not corrected
LIVE,LIVE,Not corrected
:,BUSINESS,Additon of words
BUSINESS,HOUSES.,Additon of words
HOUSES.,.,Additon of words
•i,Complete,Additon of words
•i;,New,Additon of words
11I5W,Stock,Additon of words
i3IOGK,Received,Additon of words
g±i,Composed,Additon of words
\,of,Others
Composed,all,Additon of words
of,kinds,Additon of words
all,of,Others
kinds,goods,Others
of,for,Others
goods,Winter,Additon of words
for,Wear,Others
Hi,Vicuna,Additon of words
',Wool,Additon of words
VlCHTlrl,Underclothing,Additon of words
v'a,a,Others
Good,Good,Not corrected
Time.,Time.,Not corrected
Charles,Charles,Not corrected
Bornetti,Burnetti,"Corrected, Spellcheck Error"
Injured,Injured,Not corrected
By,By,Not corrected
a,a,Not corrected
Falling,Falling,Not corrected
Bock,Bock,Not corrected
"Canyon,","Canyon,",Not corrected
March,March,Not corrected
"38,","28,","Corrected, Capitalization Error"
I'JOO.,1900,Additon of words
Angels,Angels,Not corrected
puid,paid,"Corrected, Spellcheck Error"
Canyon,Canyon,Not corrected
a,a,Not corrected
vinit,visit,"Corrected, Spellcheck Error"
last,last,Not corrected
week.,week.,Not corrected
into,into,Not corrected
tho,tho,Not corrected
housi;,house,"Corrected, Spellcheck Error"
of,of,Not corrected
J.,J.,Not corrected
Dohman.,Dohman.,Not corrected
"Plymouth,'","Plymouth,","Corrected, Spellcheck Error"
visited,visited,Not corrected
Canyon,Canyon,Not corrected
last,last,Not corrected
week.,week.,Not corrected
Misses,Misses,Not corrected
Emma,Emma,Not corrected
Faictta,Faretta,"Corrected, Spellcheck Error"
and,and,Not corrected
Laura,Laura,Not corrected
Smith's,Smith's,Not corrected
Flat,Flat,Not corrected
yestorday.,yesterday.,"Corrected, Spellcheck Error"
Miss,Miss,Not corrected
F'iretta,Faretta,"Corrected, Spellcheck Error"
is,is,Not corrected
visiting,visiting,Not corrected
relatives,relatives,Not corrected
here.,here.,Not corrected
Mr.,Mr.,Not corrected
George,George,Not corrected
Gleason.d,"Gleason,","Corrected, Spellcheck Error"
who,who,Not corrected
has*,has,"Corrected, Spellcheck Error"
been,been,Not corrected
in,in,Not corrected
"Dakota,","Dakota,",Not corrected
returned.,returned.,Not corrected
last;,last;,Not corrected
week,week,Not corrected
to,to,Not corrected
Visit,visit,"Corrected, Capitalization Error"
friends,friends,Not corrected
and,and,Not corrected
relatives,relatives,Not corrected
In,In,Not corrected
Madera,Madera,Not corrected
"county""""",county.,"Corrected, Spellcheck Error"
Mr.,Mr.,Not corrected
"Town'er,","Towner,","Corrected, Spellcheck Error"
the,the,Not corrected
gospel,gospel,Not corrected
singer.^ar-,singer,Additon of words
rived,rived,Not corrected
Saturday,Saturday,Not corrected
night.,night.,Not corrected
"sisters,","sisters,",Not corrected
#NAME?,#NAME?,Not corrected
Moyle,Moyle,Not corrected
and,and,Not corrected
"Mrs.""",Mrs.,"Corrected, Spellcheck Error"
"Cole,","Cole,",Not corrected
and,and,Not corrected
Mr.,Mr.,Not corrected
"Northey,","Northey,",Not corrected
visited,visited,Not corrected
relatives,relatives,Not corrected
here,here,Not corrected
"Mrs.""",Mrs.,"Corrected, Spellcheck Error"
Susie,Susie,Not corrected
Inman,Inman,Not corrected
spent,spent,Not corrected
a,a,Not corrected
few,few,Not corrected
days,days,Not corrected
last,last,Not corrected
week,week,Not corrected
in,in,Not corrected
Jackson.,Jackson.,Not corrected
Miss,Miss,Not corrected
Lynch,Lynch,Not corrected
of,of,Not corrected
San,San,Not corrected
Francisco,Francisco,Not corrected
i,is,"Corrected, Spellcheck Error"
3,here,Additon of words
Amador,Amador,Not corrected
City.,City.,Not corrected
visited,visited,Not corrected
relatives,relatives,Not corrected
here,here,Not corrected
Sunday.,Sunday.,Not corrected
took*,took,"Corrected, Spellcheck Error"
place,place,Not corrected
at,at,Not corrected
Sutter,Sutter,Not corrected
"Creek""","Creek""",Not corrected
Sunday,Sunday,Not corrected
afternoon.!;',afternoon.',"Corrected, Spellcheck Error"
guest,guest,Not corrected
of,of,Not corrected
Miss,Miss,Not corrected
Martin.,Martin.,Not corrected
Mr.,Mr.,Not corrected
Whitaker,Whitaker,Not corrected
and,and,Not corrected
Mr/,Mr.,"Corrected, Spellcheck Error"
Little,Little,Not corrected
of,of,Not corrected
Sut-,Sut-,Not corrected
Monday,Monday,Not corrected
night.,night.,Not corrected
Assessment,Assessment,Not corrected
Notice.,Notice.,Not corrected
on,on,Not corrected
the,the,Not corrected
ninth,ninth,Not corrected
day,day,Not corrected
of,of,Not corrected
"February,","February,",Not corrected
"19U0,","1900,","Corrected, Spellcheck Error"
an,an,Not corrected
assess-,assess-,Not corrected
S3,MISCELLANEOUS.,Additon of words
THE,The,"Corrected, Spellcheck Error"
~ISOCTOR^^,Doctors,Additon of words
WT^aMMWSo.,Dr.,Additon of words
A,A,Not corrected
Serious,Serious,Not corrected
Accident,Accident,Not corrected
at,at,Not corrected
i,the,Others
ACTED,SUSPECTED,Additon of words
THIEVES,THIEVES,Not corrected
ARE,ARE,Not corrected
PLACED,PLACED,Not corrected
UNDER,UNDER,Not corrected
ARREST,ARREST,Not corrected
Eerioui,Serious,Others
■,Results.-,Additon of words
Eeßult».4Tliey,They,Additon of words
Stole,Stole,Not corrected
"-""Canned*",Canned*,Others
Fruit*,Fruit.,"Corrected, Spellcheck Error"
"Prospect,","Prospect,",Not corrected
San,San,Not corrected
"Andreas,","Andreas,",Not corrected
March,March,Not corrected
"31,","31,",Not corrected
19,1900,"Corrected, Spellcheck Error"
If,If,Not corrected
the,the,Not corrected
rivalry,rivalry,Not corrected
:,between,Additon of words
Ifetween,#NAME?,Additon of words
#NAME?,various,Additon of words
guncl.ubs,gunclubs,"Corrected, Spellcheck Error"
in,in,Not corrected
(,this,Additon of words
th^&gt;,county,Additon of words
county,"continues,",Additon of words
"continues,",it,Additon of words
wouldfbe,would,Others
.,be,Others
"idTisubie,",advisable,Additon of words
;,for,Others
for,the,Others
"*,",club,Additon of words
"the,'",that,Others
'would,'would,Not corrected
take,take,Not corrected
the',the,"Corrected, Spellcheck Error"
leaivto,"lead,",Additon of words
lend,to,Additon of words
for,send,Additon of words
Dr.B/,for,Additon of words
RepnbUean.,Republican.,Additon of words
"Placarville,","Placerville,","Corrected, Spellcheck Error"
March,March,Not corrected
"20,","20,",Not corrected
'1900.,1900,Others
Louis,Louis,Not corrected
Ferrari,Ferrari,Not corrected
of,of,Not corrected
New,Newtown,Additon of words
town,was,Additon of words
was,badly,Additon of words
mine,mine,Not corrected
",",",",Not corrected
