oldText,newText,sameLength,editDist_0,NOCORRECTION,editDistAbove1,editDistBelow3,editDist_1andcaseChange,SPELLCHECK,ADDITION,CAPITALIZATION,TYPO
and,and,1,1,1,0,0,0,0,0,0,0
ment,ment,1,1,1,0,0,0,0,0,0,0
for,for,1,1,1,0,0,0,0,0,0,0
January,January,1,1,1,0,0,0,0,0,0,0
amounts,amounts,1,1,1,0,0,0,0,0,0,0
"t0519,",to,0,0,0,0,0,0,0,1,0,0
775,"$19,",0,0,0,0,0,0,0,1,0,0
36;,775,1,0,0,1,0,0,0,1,0,0
S,This,0,0,0,0,0,0,0,1,0,0
X,can,0,0,0,0,0,0,0,1,0,0
This,be,0,0,0,0,0,0,0,1,0,0
can,truthfully,0,0,0,0,0,0,0,1,0,0
be,said,0,0,0,0,0,0,0,1,0,0
♦,of,0,0,0,0,0,0,0,1,0,0
TUT,any,1,0,0,1,0,0,0,1,0,0
"""'",of,1,0,0,1,1,0,1,0,0,0
of,the,0,0,0,0,0,0,0,1,0,0
any,clothes,0,0,0,0,0,0,0,1,0,0
of,made,0,0,0,0,0,0,0,1,0,0
I,at,0,0,0,1,1,0,1,0,0,0
lilt,our,0,0,0,0,0,0,0,1,0,0
*,shop.,0,0,0,0,0,0,0,1,0,0
at,The,0,0,0,0,0,0,0,1,0,0
°,cutting,0,0,0,0,0,0,0,1,0,0
\\,is,1,0,0,1,1,0,1,0,0,0
3,done,0,0,0,0,0,0,0,1,0,0
T,by,0,0,0,1,1,0,1,0,0,0
is,an,1,0,0,1,1,0,1,0,0,0
done,experienced,0,0,0,0,0,0,0,1,0,0
",',",cutter;,0,0,0,0,0,0,0,1,0,0
",',",we,0,0,0,0,0,0,0,1,0,0
cutter;,use,0,0,0,0,0,0,0,1,0,0
we,the,0,0,0,1,1,0,1,0,0,0
use,best,0,0,0,0,0,0,0,1,0,0
the,but-,0,0,0,0,0,0,0,1,0,0
*,-0,0,0,0,1,1,0,1,0,0,0
OTTTT,tons,0,0,0,0,0,0,0,1,0,0
!,and,0,0,0,0,0,0,0,1,0,0
I-,thread,0,0,0,0,0,0,0,1,0,0
tons,and,0,0,0,0,0,0,0,1,0,0
and,give,0,0,0,0,0,0,0,1,0,0
',personal,0,0,0,0,0,0,0,1,0,0
ulJli,supervision,0,0,0,0,0,0,0,1,0,0
•,to,0,0,0,0,0,0,0,1,0,0
P,all,0,0,0,0,0,0,0,1,0,0
I,work.,0,0,0,0,0,0,0,1,0,0
;,Our,0,0,0,0,0,0,0,1,0,0
0,stock,0,0,0,0,0,0,0,1,0,0
0,of,0,0,0,1,1,0,1,0,0,0
!,suit-,0,0,0,0,0,0,0,1,0,0
!!,for,0,0,0,0,0,0,0,1,0,0
o,spring,0,0,0,0,0,0,0,1,0,0
ings,and,0,0,0,0,0,0,0,1,0,0
for,summer,0,0,0,0,0,0,0,1,0,0
&lt;,is,0,0,0,0,0,0,0,1,0,0
WJH,about,0,0,0,0,0,0,0,1,0,0
T,the,0,0,0,0,0,0,0,1,0,0
T,nobbiest,0,0,0,0,0,0,0,1,0,0
3,ever,0,0,0,0,0,0,0,1,0,0
I,seen,0,0,0,0,0,0,0,1,0,0
WILL,here.,0,0,0,0,0,0,0,1,0,0
"!|,",We,0,0,0,0,0,0,0,1,0,0
!|,cannot,0,0,0,0,0,0,0,1,0,0
VVe,afford,0,0,0,0,0,0,0,1,0,0
cannot,to,0,0,0,0,0,0,0,1,0,0
afford,give,0,0,0,0,0,0,0,1,0,0
",',",you,1,0,0,1,0,0,0,1,0,0
",',",shoddy,0,0,0,0,0,0,0,1,0,0
you,cloth,0,0,0,0,0,0,0,1,0,0
shoddy,or,0,0,0,0,0,0,0,1,0,0
cloth,slip-,1,0,0,1,0,0,0,1,0,0
;;,shod,0,0,0,0,0,0,0,1,0,0
\\j\j,"work,",1,0,0,1,0,0,0,1,0,0
I!,for,0,0,0,0,0,0,0,1,0,0
to,we,1,0,0,1,1,0,1,0,0,0
stay,are,0,0,0,0,0,0,0,1,0,0
and,here,0,0,0,0,0,0,0,1,0,0
".',",to,0,0,0,0,0,0,0,1,0,0
I!,stay,0,0,0,0,0,0,0,1,0,0
one-time,and,0,0,0,0,0,0,0,1,0,0
custom.,cannot,0,0,0,0,0,0,0,1,0,0
!I,live,0,0,0,0,0,0,0,1,0,0
",',",on,0,0,0,0,0,0,0,1,0,0
,one-time,0,0,0,0,0,0,0,1,0,0
»♦♦♦♦♦♦»»♦♦,custom.,0,0,0,0,0,0,0,1,0,0
MAX,MAX,1,1,1,0,0,0,0,0,0,0
"LADA-R,","LADAR,",0,0,0,1,1,0,1,0,0,0
THE,THE,1,1,1,0,0,0,0,0,0,0
TAILOR,TAILOR,1,1,1,0,0,0,0,0,0,0
u'~-;:u,MAIN,0,0,0,0,0,0,0,1,0,0
~-,STREET.,0,0,0,0,0,0,0,1,0,0
;,JACKSON.,0,0,0,0,0,0,0,1,0,0
:,CAL.,0,0,0,0,0,0,0,1,0,0
-^Jj;.,LIVE,0,0,0,0,0,0,0,1,0,0
"""",BUSINESS,0,0,0,0,0,0,0,1,0,0
0,HOUSES.,0,0,0,0,0,0,0,1,0,0
■,Ex-Sheriff,0,0,0,0,0,0,0,1,0,0
Ex-Sheriff,"Cunningham,",0,0,0,0,0,0,0,1,0,0
"Cunningham,","who,",0,0,0,0,0,0,0,1,0,0
"who,",the,0,0,0,0,0,0,0,1,0,0
quin,quin,1,1,1,0,0,0,0,0,0,0
"Murietta,","Murietta,",1,1,1,0,0,0,0,0,0,0
the,the,1,1,1,0,0,0,0,0,0,0
jj,famous,0,0,0,0,0,0,0,1,0,0
famous,"bandit,",0,0,0,0,0,0,0,1,0,0
"bandit,",re-,0,0,0,0,0,0,0,1,0,0
well.;,well.,0,0,0,1,1,0,1,0,0,0
He,He,1,1,1,0,0,0,0,0,0,0
was,was,1,1,1,0,0,0,0,0,0,0
over,over,1,1,1,0,0,0,0,0,0,0
six,six,1,1,1,0,0,0,0,0,0,0
feet,feet,1,1,1,0,0,0,0,0,0,0
in,in,1,1,1,0,0,0,0,0,0,0
"height,'","height,",0,0,0,1,1,0,1,0,0,0
pow-,pow-,1,1,1,0,0,0,0,0,0,0
of,of,1,1,1,0,0,0,0,0,0,0
his,his,1,1,1,0,0,0,0,0,0,0
time,time,1,1,1,0,0,0,0,0,0,0
in,in,1,1,1,0,0,0,0,0,0,0
San,San,1,1,1,0,0,0,0,0,0,0
Jose.,Jose.,1,1,1,0,0,0,0,0,0,0
"lawsuits,","lawsuits,",1,1,1,0,0,0,0,0,0,0
"separation,","separation,",1,1,1,0,0,0,0,0,0,0
rcconcilliation,reconcilliation,1,0,0,0,0,0,0,0,0,1
Chris,Chris,1,1,1,0,0,0,0,0,0,0
Ericson,Ericson,1,1,1,0,0,0,0,0,0,0
and,and,1,1,1,0,0,0,0,0,0,0
died,died,1,1,1,0,0,0,0,0,0,0
"from""",from,0,0,0,1,1,0,1,0,0,0
the,the,1,1,1,0,0,0,0,0,0,0
"1620,","1620,",1,1,1,0,0,0,0,0,0,0
landing,landing,1,1,1,0,0,0,0,0,0,0
on,on,1,1,1,0,0,0,0,0,0,0
Plymouth,Plymouth,1,1,1,0,0,0,0,0,0,0
Hock.,Rock.,1,0,0,0,0,0,0,0,0,1
"1621,","1621,",1,1,1,0,0,0,0,0,0,0
first,first,1,1,1,0,0,0,0,0,0,0
Thanksgiving,Thanksgiving,1,1,1,0,0,0,0,0,0,0
Day;,Day;,1,1,1,0,0,0,0,0,0,0
"""no",no,0,0,0,1,1,0,1,0,0,0
"1702,","1702,",1,1,1,0,0,0,0,0,0,0
Yale,Yale,1,1,1,0,0,0,0,0,0,0
College,College,1,1,1,0,0,0,0,0,0,0
founded,founded,1,1,1,0,0,0,0,0,0,0
in,in,1,1,1,0,0,0,0,0,0,0
New',New,0,0,0,1,1,0,1,0,0,0
Haven.-,Haven.,0,0,0,1,1,0,1,0,0,0
ton.,ton.,1,1,1,0,0,0,0,0,0,0
I,THE,0,0,0,0,0,0,0,1,0,0
lill!,COFFEE,0,0,0,0,0,0,0,1,0,0
Everything,Everything,1,1,1,0,0,0,0,0,0,0
"New,","New,",1,1,1,0,0,0,0,0,0,0
Neat,Neat,1,1,1,0,0,0,0,0,0,0
and,and,1,1,1,0,0,0,0,0,0,0
0,THE,0,0,0,0,0,0,0,1,0,0
"""",BEST,0,0,0,0,0,0,0,1,0,0
•,THE,1,0,0,1,0,0,0,1,0,0
.-:,MARKET,0,0,0,0,0,0,0,1,0,0
•,ON,0,0,0,0,0,0,0,1,0,0
ON,HAND,0,0,0,0,0,0,0,1,0,0
;^-.,HAMBRIC,0,0,0,0,0,0,0,1,0,0
1,&amp;,0,0,0,0,0,0,0,1,0,0
-;'i.',CARLEY.,0,0,0,0,0,0,0,1,0,0
k.'A.,M.,0,0,0,0,0,0,0,1,0,0
MAILS,A.,0,0,0,0,0,0,0,1,0,0
Furnishing,Furnishing,1,1,1,0,0,0,0,0,0,0
-:-,Goods,0,0,0,0,0,0,0,1,0,0
For,For,1,1,1,0,0,0,0,0,0,0
Ladies!,Ladies,0,0,0,1,1,0,1,0,0,0
"""Cl",E.,0,0,0,0,0,0,0,1,0,0
A.,A.,1,1,1,0,0,0,0,0,0,0
FREEMAN,FREEMAN,1,1,1,0,0,0,0,0,0,0
Court,Court,1,1,1,0,0,0,0,0,0,0
streets.,streets.,1,1,1,0,0,0,0,0,0,0
TV,D.,1,0,0,1,1,0,1,0,0,0
B.,B.,1,1,1,0,0,0,0,0,0,0
SPAtJNOUI,SPAGNOLI,0,0,0,0,0,0,0,1,0,0
jPjgaK,Attorney,0,0,0,0,0,0,0,1,0,0
Attorney,and,0,0,0,0,0,0,0,1,0,0
and,Counselor,0,0,0,0,0,0,0,1,0,0
Counselor,at,0,0,0,0,0,0,0,1,0,0
at,Law,0,0,0,1,1,0,1,0,0,0
.',Jackson.,0,0,0,0,0,0,0,1,0,0
Jackson.,Cal.,0,0,0,0,0,0,0,1,0,0
A,A.,0,0,0,1,1,0,1,0,0,0
CAMINETTI,CAMINETTI,1,1,1,0,0,0,0,0,0,0
TJOBEKT,ROBERT,0,0,0,0,0,0,0,1,0,0
C.,C.,1,1,1,0,0,0,0,0,0,0
BOLE,BOLE,1,1,1,0,0,0,0,0,0,0
•,"Jackson,",0,0,0,0,0,0,0,1,0,0
"Jackson,",Cal.,0,0,0,0,0,0,0,1,0,0
Records.,Records.,1,1,1,0,0,0,0,0,0,0
Harry,Harry,1,1,1,0,0,0,0,0,0,0
Harchand,Marchand,1,0,0,0,0,0,0,0,0,1
Under,Under,1,1,1,0,0,0,0,0,0,0
Treatment.,Treatment.,1,1,1,0,0,0,0,0,0,0
dress,dress,1,1,1,0,0,0,0,0,0,0
pretty,pretty,1,1,1,0,0,0,0,0,0,0
high,high,1,1,1,0,0,0,0,0,0,0
In,in,1,0,0,0,0,1,0,0,1,0
the,the,1,1,1,0,0,0,0,0,0,0
neck?,neck?,1,1,1,0,0,0,0,0,0,0
"Maude,—","Maude,—",1,1,1,0,0,0,0,0,0,0
"""Ob,","""Oh,",1,0,0,0,0,0,0,0,0,1
yes;,yes;,1,1,1,0,0,0,0,0,0,0
several,several,1,1,1,0,0,0,0,0,0,0
"times.""","times.""",1,1,1,0,0,0,0,0,0,0
GREAT,GREAT,1,1,1,0,0,0,0,0,0,0
6RAVR,6RAVR,1,1,1,0,0,0,0,0,0,0
BEDS,BEDS,1,1,1,0,0,0,0,0,0,0
PASS,PASS,1,1,1,0,0,0,0,0,0,0
THROUGH,THROUGH,1,1,1,0,0,0,0,0,0,0
THE,THE,1,1,1,0,0,0,0,0,0,0
SfERPA,SIERRA,1,0,0,1,1,0,1,0,0,0
GREAT,GREAT,1,1,1,0,0,0,0,0,0,0
6RAVR,GRAVEL,0,0,0,0,0,0,0,1,0,0
BEDS,BEDS,1,1,1,0,0,0,0,0,0,0
PASS,PASS,1,1,1,0,0,0,0,0,0,0
THROUGH,THROUGH,1,1,1,0,0,0,0,0,0,0
THE,THE,1,1,1,0,0,0,0,0,0,0
SIERRA,SIERRA,1,1,1,0,0,0,0,0,0,0
Carry,Carry,1,1,1,0,0,0,0,0,0,0
Gold,Gold,1,1,1,0,0,0,0,0,0,0
In,In,1,1,1,0,0,0,0,0,0,0
Faying,Paying,1,0,0,0,0,0,0,0,0,1
Quantities,Quantities,1,1,1,0,0,0,0,0,0,0
in,in,1,1,1,0,0,0,0,0,0,0
conjunction,conjunction,1,1,1,0,0,0,0,0,0,0
willi,with,0,0,0,0,0,0,0,1,0,0
lln&lt;,the,0,0,0,0,0,0,0,1,0,0
Calaveras,Calaveras,1,1,1,0,0,0,0,0,0,0
river,river,1,1,1,0,0,0,0,0,0,0
Its,Its,1,1,1,0,0,0,0,0,0,0
Eelation,Relation,1,0,0,0,0,0,0,0,0,1
to,to,1,1,1,0,0,0,0,0,0,0
the,the,1,1,1,0,0,0,0,0,0,0
Precious,Precious,1,1,1,0,0,0,0,0,0,0
■;,Metal.,0,0,0,0,0,0,0,1,0,0
"Mine,","Mine,",1,1,1,0,0,0,0,0,0,0
:,0,1,0,0,0,0,0,0,0,0,1
A,A,1,1,1,0,0,0,0,0,0,0
LITTLE,LITTLE,1,1,1,0,0,0,0,0,0,0
GIRL,GIRL,1,1,1,0,0,0,0,0,0,0
ESCfIPES,ESCAPES,0,0,0,1,1,0,1,0,0,0
A,A,1,1,1,0,0,0,0,0,0,0
HORRIBLE,HORRIBLE,1,1,1,0,0,0,0,0,0,0
DEATH,DEATH,1,1,1,0,0,0,0,0,0,0
On,On,1,1,1,0,0,0,0,0,0,0
the,the,1,1,1,0,0,0,0,0,0,0
Removal,Removal,1,1,1,0,0,0,0,0,0,0
of,of,1,1,1,0,0,0,0,0,0,0
the,the,1,1,1,0,0,0,0,0,0,0
Cala-,Cala-,1,1,1,0,0,0,0,0,0,0
*,,0,0,0,1,1,0,1,0,0,0
"Nugget,","Nugget,",1,1,1,0,0,0,0,0,0,0
"Plaoerville,","Plaoerville,",1,1,1,0,0,0,0,0,0,0
March,March,1,1,1,0,0,0,0,0,0,0
"3,","3,",1,1,1,0,0,0,0,0,0,0
IMO.,1900,1,0,0,1,0,0,0,1,0,0
"Nugget,","Nugget,",1,1,1,0,0,0,0,0,0,0
"Plaoerville,","Placerville,",1,0,0,0,0,0,0,0,0,1
March,March,1,1,1,0,0,0,0,0,0,0
"3,","2,",1,0,0,0,0,0,0,0,0,1
1900,1900,1,1,1,0,0,0,0,0,0,0
eyes.,eyes.,1,1,1,0,0,0,0,0,0,0
":a&lt;ro,","ago,",0,0,0,0,0,0,0,1,0,0
and,and,1,1,1,0,0,0,0,0,0,0
to,to,1,1,1,0,0,0,0,0,0,0
take,take,1,1,1,0,0,0,0,0,0,0
part,part,1,1,1,0,0,0,0,0,0,0
".""",in,1,0,0,1,1,0,1,0,0,0
in,the,0,0,0,0,0,0,0,1,0,0
0,great,0,0,0,0,0,0,0,1,0,0
Association,Association,1,1,1,0,0,0,0,0,0,0
at,at,1,1,1,0,0,0,0,0,0,0
Chicago.,Chicago.,1,1,1,0,0,0,0,0,0,0
j,Princeton,0,0,0,0,0,0,0,1,0,0
Pi-inoeton,has,0,0,0,0,0,0,0,1,0,0
offeivd,offeredd,0,0,0,0,0,0,0,1,0,0
its,its,1,1,1,0,0,0,0,0,0,0
track,track,1,1,1,0,0,0,0,0,0,0
(or,for,1,0,0,0,0,0,0,0,0,1
training.,training.,1,1,1,0,0,0,0,0,0,0
t^.ira,team,0,0,0,0,0,0,0,1,0,0
beon,been,1,0,0,0,0,0,0,0,0,1
sent,sent,1,1,1,0,0,0,0,0,0,0
east—,east—,1,1,1,0,0,0,0,0,0,0
in,in,1,1,1,0,0,0,0,0,0,0
"1.8J15,","1895,",0,0,0,0,0,0,0,1,0,0
when,when,1,1,1,0,0,0,0,0,0,0
the,the,1,1,1,0,0,0,0,0,0,0
Berkeley,Berkeley,1,1,1,0,0,0,0,0,0,0
athletes,athletes,1,1,1,0,0,0,0,0,0,0
won.,won,0,0,0,1,1,0,1,0,0,0
the,the,1,1,1,0,0,0,0,0,0,0
0,Western,0,0,0,0,0,0,0,1,0,0
"Princeton,","Princeton,",1,1,1,0,0,0,0,0,0,0
tie-1,tied,0,0,0,1,1,0,1,0,0,0
"Pennsylvania,","Pennsylvania,",1,1,1,0,0,0,0,0,0,0
and,and,1,1,1,0,0,0,0,0,0,0
dis-,dis-,1,1,1,0,0,0,0,0,0,0
lh&gt;£tiished,tinguished,0,0,0,0,0,0,0,1,0,0
themselves,themselves,1,1,1,0,0,0,0,0,0,0
at,at,1,1,1,0,0,0,0,0,0,0
Mott,Mott,1,1,1,0,0,0,0,0,0,0
Haven.',Haven.',1,1,1,0,0,0,0,0,0,0
■,Among,0,0,0,0,0,0,0,1,0,0
Among,the,0,0,0,0,0,0,0,1,0,0
the,athletes,0,0,0,0,0,0,0,1,0,0
athletes,who,0,0,0,0,0,0,0,1,0,0
who,are,1,0,0,1,0,0,0,1,0,0
are,most,0,0,0,0,0,0,0,1,0,0
by,by,1,1,1,0,0,0,0,0,0,0
A.,A.,1,1,1,0,0,0,0,0,0,0
"Goldner,","Goldner,",1,1,1,0,0,0,0,0,0,0
Drnggist.,Druggist.,1,0,0,0,0,0,0,0,0,1
Sued,Based,0,0,0,0,0,0,0,1,0,0
on,on,1,1,1,0,0,0,0,0,0,0
the,the,1,1,1,0,0,0,0,0,0,0
Result,Result,1,1,1,0,0,0,0,0,0,0
of,of,1,1,1,0,0,0,0,0,0,0
Scientific,Scientific,1,1,1,0,0,0,0,0,0,0
Re-,Re-,1,1,1,0,0,0,0,0,0,0
counterfeits.,counterfeits.,1,1,1,0,0,0,0,0,0,0
City,City,1,1,1,0,0,0,0,0,0,0
Pharmacy.,Pharmacy.,1,1,1,0,0,0,0,0,0,0
Would-be,Would-be,1,1,1,0,0,0,0,0,0,0
Slayer,Slayer,1,1,1,0,0,0,0,0,0,0
;,of,0,0,0,1,1,0,1,0,0,0
pf,Joseph,0,0,0,0,0,0,0,1,0,0
BRADY,BRADY,1,1,1,0,0,0,0,0,0,0
ESCAPES,ESCAPES,1,1,1,0,0,0,0,0,0,0
FROM,FROM,1,1,1,0,0,0,0,0,0,0
THE,THE,1,1,1,0,0,0,0,0,0,0
COUNTY,COUNTY,1,1,1,0,0,0,0,0,0,0
0,HOSPITAL,0,0,0,0,0,0,0,1,0,0
ed,ed,1,1,1,0,0,0,0,0,0,0
near,near,1,1,1,0,0,0,0,0,0,0
"Milton,","Milton,",1,1,1,0,0,0,0,0,0,0
j,has,0,0,0,0,0,0,0,1,0,0
has,had,1,0,0,0,0,0,0,0,0,1
had,a,0,0,0,1,1,0,1,0,0,0
a,varied,0,0,0,0,0,0,0,1,0,0
varied,and,0,0,0,0,0,0,0,1,0,0
pened,pened,1,1,1,0,0,0,0,0,0,0
to,to,1,1,1,0,0,0,0,0,0,0
him,him,1,1,1,0,0,0,0,0,0,0
this*,this,0,0,0,1,1,0,1,0,0,0
"V«ek,*",week,0,0,0,0,0,0,0,1,0,0
as,as,1,1,1,0,0,0,0,0,0,0
related,related,1,1,1,0,0,0,0,0,0,0
by,by,1,1,1,0,0,0,0,0,0,0
ably,ably,1,1,1,0,0,0,0,0,0,0
as,as,1,1,1,0,0,0,0,0,0,0
interesting,interesting,1,1,1,0,0,0,0,0,0,0
as,as,1,1,1,0,0,0,0,0,0,0
any,any,1,1,1,0,0,0,0,0,0,0
r&gt;,single,0,0,0,0,0,0,0,1,0,0
single,hap-,0,0,0,0,0,0,0,1,0,0
years.,years.,1,1,1,0,0,0,0,0,0,0
ago,ago,1,1,1,0,0,0,0,0,0,0
he,he,1,1,1,0,0,0,0,0,0,0
taft,left,1,0,0,1,1,0,1,0,0,0
~,his,0,0,0,0,0,0,0,1,0,0
his,home,0,0,0,0,0,0,0,1,0,0
home,in,0,0,0,0,0,0,0,1,0,0
in,Illinois,0,0,0,0,0,0,0,1,0,0
?-,All,0,0,0,0,0,0,0,1,0,0
AU,Others.,0,0,0,0,0,0,0,1,0,0
1900,1900,1,1,1,0,0,0,0,0,0,0
—,—,1,1,1,0,0,0,0,0,0,0
#NAME?,#NAME?,1,1,1,0,0,0,0,0,0,0
"Moses,","Moses,",1,1,1,0,0,0,0,0,0,0
Professor,Professor,1,1,1,0,0,0,0,0,0,0
;of,of,0,0,0,1,1,0,1,0,0,0
University,University,1,1,1,0,0,0,0,0,0,0
of,of,1,1,1,0,0,0,0,0,0,0
"California,","California,",1,1,1,0,0,0,0,0,0,0
who,who,1,1,1,0,0,0,0,0,0,0
has,has,1,1,1,0,0,0,0,0,0,0
betjn,been,0,0,0,1,1,0,1,0,0,0
a,a,1,1,1,0,0,0,0,0,0,0
year.,year.,1,1,1,0,0,0,0,0,0,0
Tho,Tho,1,1,1,0,0,0,0,0,0,0
special,special,1,1,1,0,0,0,0,0,0,0
subject,subject,1,1,1,0,0,0,0,0,0,0
of,of,1,1,1,0,0,0,0,0,0,0
Profos-,Profes-,1,0,0,0,0,0,0,0,0,1
confession,confession,1,1,1,0,0,0,0,0,0,0
that,that,1,1,1,0,0,0,0,0,0,0
the,the,1,1,1,0,0,0,0,0,0,0
0,government,0,0,0,0,0,0,0,1,0,0
government,was,0,0,0,0,0,0,0,1,0,0
General,General,1,1,1,0,0,0,0,0,0,0
Fnrlonar'a,Furlong's,0,0,0,0,0,0,0,1,0,0
Charity.,Charity.,1,1,1,0,0,0,0,0,0,0
..There,There,0,0,0,1,1,0,1,0,0,0
goes,goes,1,1,1,0,0,0,0,0,0,0
General,General,1,1,1,0,0,0,0,0,0,0
Charles,Charles,1,1,1,0,0,0,0,0,0,0
B.,B.,1,1,1,0,0,0,0,0,0,0
Pur-,Pur-,1,1,1,0,0,0,0,0,0,0
his,his,1,1,1,0,0,0,0,0,0,0
hand,hand,1,1,1,0,0,0,0,0,0,0
is,is,1,1,1,0,0,0,0,0,0,0
a,a,1,1,1,0,0,0,0,0,0,0
$10 ,$10 ,1,1,1,0,0,0,0,0,0,0
and,and,1,1,1,0,0,0,0,0,0,0
as,as,1,1,1,0,0,0,0,0,0,0
6,$5 ,0,0,0,0,0,0,0,1,0,0
bill.,bill.,1,1,1,0,0,0,0,0,0,0
He,He,1,1,1,0,0,0,0,0,0,0
